item_id,name,category,style,price,color
1,Modern Sofa,sofa,modern,800,gray
2,Wood Coffee Table,table,scandinavian,300,brown
3,Minimalist Lamp,lamp,minimalist,150,white
4,Classic Armchair,chair,classic,600,beige
5,Modern TV Stand,storage,modern,400,black
6,Furniture Item 6,sofa,modern,400,green
7,Furniture Item 7,table,minimalist,450,natural
8,Furniture Item 8,lamp,classic,500,white
9,Furniture Item 9,chair,scandinavian,550,black
10,Furniture Item 10,storage,industrial,600,gray
11,Furniture Item 11,bed,contemporary,650,brown
12,Furniture Item 12,sofa,modern,700,beige
13,Furniture Item 13,table,minimalist,750,blue
14,Furniture Item 14,lamp,classic,800,green
15,Furniture Item 15,chair,scandinavian,850,natural
16,Furniture Item 16,storage,industrial,900,white
17,Furniture Item 17,bed,contemporary,950,black
18,Furniture Item 18,sofa,modern,1000,gray
19,Furniture Item 19,table,minimalist,1050,brown
20,Furniture Item 20,lamp,classic,100,beige
21,Furniture Item 21,chair,scandinavian,150,blue
22,Furniture Item 22,storage,industrial,200,green
23,Furniture Item 23,bed,contemporary,250,natural
24,Furniture Item 24,sofa,modern,300,white
25,Furniture Item 25,table,minimalist,350,black
26,Furniture Item 26,lamp,classic,400,gray
27,Furniture Item 27,chair,scandinavian,450,brown
28,Furniture Item 28,storage,industrial,500,beige
29,Furniture Item 29,bed,contemporary,550,blue
30,Furniture Item 30,sofa,modern,600,green
31,Furniture Item 31,table,minimalist,650,natural
32,Furniture Item 32,lamp,classic,700,white
33,Furniture Item 33,chair,scandinavian,750,black
34,Furniture Item 34,storage,industrial,800,gray
35,Furniture Item 35,bed,contemporary,850,brown
36,Furniture Item 36,sofa,modern,900,beige
37,Furniture Item 37,table,minimalist,950,blue
38,Furniture Item 38,lamp,classic,1000,green
39,Furniture Item 39,chair,scandinavian,1050,natural
40,Furniture Item 40,storage,industrial,100,white
41,Furniture Item 41,bed,contemporary,150,black
42,Furniture Item 42,sofa,modern,200,gray
43,Furniture Item 43,table,minimalist,250,brown
44,Furniture Item 44,lamp,classic,300,beige
45,Furniture Item 45,chair,scandinavian,350,blue
46,Furniture Item 46,storage,industrial,400,green
47,Furniture Item 47,bed,contemporary,450,natural
48,Furniture Item 48,sofa,modern,500,white
49,Furniture Item 49,table,minimalist,550,black
50,Furniture Item 50,lamp,classic,600,gray
51,Furniture Item 51,chair,scandinavian,650,brown
52,Furniture Item 52,storage,industrial,700,beige
53,Furniture Item 53,bed,contemporary,750,blue
54,Furniture Item 54,sofa,modern,800,green
55,Furniture Item 55,table,minimalist,850,natural
56,Furniture Item 56,lamp,classic,900,white
57,Furniture Item 57,chair,scandinavian,950,black
58,Furniture Item 58,storage,industrial,1000,gray
59,Furniture Item 59,bed,contemporary,1050,brown
60,Furniture Item 60,sofa,modern,100,beige
61,Furniture Item 61,table,minimalist,150,blue
62,Furniture Item 62,lamp,classic,200,green
